name,primary_muscle_group,equipment,rating,pk,slug,primaryMuscles,secondaryMuscles,steps,notes,instructions
Chest Fly – Machine,,,,64.0,chest-fly-machine,['chest'],"['bicep', 'forearm - inner', 'shoulder - front']","['Adjust the seat height and position on the machine to ensure proper alignment with the handles.', 'Extend your arms out to the sides, keeping a slight bend in your elbows. Grasp the handles and sit with your back flat against the pad.', 'Inhale and slowly bring your arms together in front of your chest, keeping them slightly bent.', 'Exhale and slowly return your arms to the starting position, maintaining a slight bend in your elbows.', 'Repeat.']",,
Chest Press – Cable,,,,65.0,chest-press-cable,['chest'],"['shoulder - front', 'tricep']","['Adjust the cable machine to chest height and attach the handles to the cables.', 'Stand facing away from the machine and grasp the handles with an overhand grip.', 'Step forward to create tension in the cables and position your feet shoulder-width apart.', 'Engage your core and keep your chest up as you push the handles forward until your arms are fully extended.', 'Hold the position for a moment and then slowly release the handles back to the starting position.', 'Repeat.']",,
Kneeling Side Plank,,,,66.0,kneeling-side-plank,['oblique'],['abdominal'],"['From a kneeling position on the ground, lean to the right until your right hand or elbow make contact with the ground directly under your right shoulder.', 'Your body should form a straight line from your left shoulder (pointing towards the ceiling) to your left knee that stacked on top of the right knee.', 'Hold this position, engaging your core, for the desired time.', 'Raise back up to a kneeling position and repeat on the other side.']",,
Hip Thrust – Band,,,,67.0,hip-thrust-band,['glute'],"['hamstring', 'thigh - inner']","['Place a resistance band below your knees.', 'Sit on the ground with your back against a bench, your feet flat on the ground, and position a barbell across your hips.', 'Engage your core and glute muscles, and slowly lift your hips up off the ground until your body forms a straight line from your knees to your shoulders.', 'Hold for a second or two at the top of the movement, then lower your hips back down to the ground.', 'Repeat.']",,
Row – Dumbbell,,,,68.0,row-dumbbell,"['lat', 'shoulder - back', 'trap']","['bicep', 'forearm - inner', 'rotator cuff - back', 'rotator cuff - front']","['Stand with your feet shoulder-width apart and hold a dumbbell in each hand with a neutral grip (palms facing each other).', 'Bend your knees slightly and hinge forward at the hips, keeping your back straight.', 'Bring the dumbbells up towards your chest, keeping your elbows close to your body.', 'Pause at the top of the movement and squeeze your shoulder blades together.', 'Lower the dumbbells back down to the starting position.', 'Repeat.']",,
Stiff-Legged Deadlift – Barbell,,,,69.0,stiff-legged-deadlift-barbell,"['glute', 'hamstring', 'lower back']","['calf', 'forearm - inner', 'forearm - outer', 'trap', 'quad']","['Stand with your feet hip-width apart, holding a barbell in front of your thighs with straight arms using an overhand grip.', 'Position the bar so it is touching or nearly touching your legs.', 'Keep your legs straight or maintain a slight bend in the knees (do not lock them).', 'Brace your core, keep your upper back straight while slightly arching your lower back.', 'Inhale, then push your hips back and lower the bar towards the ground, hinging at the hips, not the waist.', 'Keep the bar close to your body to avoid putting undue stress on your lower back.', 'Lower the barbell as far down as your hamstring flexibility allows. You should feel a stretch in your hamstrings. Do not round your spine.', 'Exhale as you lift the bar back to the starting position by extending your hips and pushing them forward. Avoid using your back to pull; the motion should come from your hamstrings and glutes.', 'Squeeze your glutes at the top of the movement for a second before performing the next repetition.', 'Perform the desired number of repetitions while maintaining proper form, keeping the movement controlled and avoiding any jerky motions.']",,
Incline Bench Press – Dumbbell,,,,70.0,incline-bench-press-dumbbell,"['chest', 'shoulder - front']",['tricep'],"['Set up an incline bench at a 45-degree angle.', 'Choose two dumbbells of equal weight and sit on the bench with them resting on your thighs.', 'Lie back on the bench and bring the dumbbells up to your chest, palms facing forward.', 'Push the dumbbells up and away from your chest, extending your arms fully but not locking your elbows.', 'Slowly lower the dumbbells back down to your chest, keeping your elbows at a 45-degree angle to your body.', 'Repeat.']",,
Calf Raise – Machine,,,,71.0,calf-raise-machine,['calf'],[],"['Stand on calf raise machine with the balls of your feet on the edge and your heels hanging off.', 'Slowly raise your heels as high as possible, keeping your knees straight.', 'Hold the position, then lower your heels back down below the level of the raised surface.', 'Repeat.']",,
Squat – Smith Machine,,,,72.0,squat-smith-machine,"['glute', 'lower back', 'quad', 'thigh - inner']",['calf'],"['Adjust the bar height to your desired position.', 'Load the bar with an appropriate weight.', 'Stand facing the bar with your feet shoulder-width apart.', 'Step forward and position the bar on your shoulders, resting on the back of your neck.', 'Grasp the bar with both hands, keeping your elbows pointed down and your chest up.', 'Lower your body by bending at the knees and hips, keeping your back straight and your head up.', 'Lower until your thighs are parallel to the ground, then push back up to the starting position.', 'Repeat.']",,
Power Jerk,,,,73.0,power-jerk,['shoulder - front'],"['glute', 'lower back', 'quad', 'shoulder - side', 'thigh - inner', 'trap', 'tricep']","['Start with the barbell resting on your front shoulders, with your feet shoulder-width apart.', 'Bend your knees slightly and dip your hips down.', 'Quickly extend your legs and hips, driving the barbell upwards.', 'As the barbell reaches its highest point, quickly drop underneath it, in a small squat.', 'As you catch the barbell overhead, straighten your legs and stand up.', 'Lower the barbell back down to your front shoulders to complete the rep.', 'Repeat.']",,
Preacher Curl – Barbell,,,,74.0,preacher-curl-barbell,['bicep'],['forearm - inner'],"['Set up a preacher curl bench with the appropriate weight on the barbell.', 'Adjust the seat height so that your armpits are resting comfortably on the top of the bench.', 'Grab the barbell with an underhand grip, hands shoulder-width apart.', 'Place your upper arms on the bench pad, keeping your elbows close to your body.', 'Exhale and curl the barbell up towards your shoulders, keeping your upper arms stationary.', 'Pause briefly at the top of the movement, squeezing your biceps.', 'Inhale and slowly lower the barbell back down to the starting position.', 'Repeat.']",,
Clean and Jerk,,,,75.0,clean-and-jerk,"['glute', 'lower back', 'quad', 'shoulder - front', 'thigh - inner']","['calf', 'forearm - inner', 'hamstring', 'shoulder - side', 'trap', 'tricep']","['Start with the barbell on the ground, feet shoulder-width apart and toes pointing forward.', 'Bend down and grip the bar with hands slightly wider than shoulder-width apart.', 'Stand up, keeping your back straight and the bar close to your body.', 'Once the bar reaches your hips, explosively extend your hips, knees, and ankles to propel the bar upward.', 'As the bar reaches your chest, drop your body underneath it and catch it on your shoulders in a front squat position.', 'Stand up from the front squat position and prepare for the jerk.', 'Dip your body slightly and then explosively drive the bar overhead by extending your arms and legs.', 'Lock out your arms and hold the bar overhead for a moment before lowering it back down to the starting position.', 'Repeat.']",,
Hang Clean,,,,76.0,hang-clean,"['glute', 'lower back', 'quad', 'thigh - inner']","['calf', 'forearm - outer', 'hamstring', 'trap']","['Stand holding a barbell across your pelvis with straight arms and a shoulder-width grip, palms facing you. This is your starting position.', 'Bend your knees slightly, hinge at the hips to lower the bar to just above knee level.', 'Tighten your core and keep your back straight.', 'Explosively extend your hips and knees, simultaneously pulling the barbell up to your shoulders, keeping it close to your body.', 'Drop into a deep squat, moving your body, arms, and wrists under the weight.', 'Catch the bar on your front shoulders, driving your elbows forward and up under the bar.', 'Stand up straight by extending your hips and knees fully to complete the lift.', 'Lower the bar back to the starting position.', 'Repeat for the desired number of repetitions.']",,
Glute Bridge,,,,77.0,glute-bridge,"['glute', 'hamstring']",[],"['Start by lying on your back with your knees bent and feet flat on the ground.', 'Place your arms by your sides with your palms facing down.', 'Engage your core and glutes to lift your hips off the ground until your body forms a straight line from your shoulders to your knees.', 'Hold the position for a few seconds, squeezing your glutes at the top of the movement.', 'Lower your hips back down to the ground.', 'Repeat.']",,
Incline Bench Press – Barbell,,,,78.0,incline-bench-press-barbell,"['chest', 'shoulder - front']",['tricep'],"['Set up the incline bench at a 45-degree angle.', 'Lie down on the bench with your feet flat on the ground.', 'Grip the barbell with your hands slightly wider than shoulder-width apart.', 'Unrack the barbell and lower it towards your chest, keeping your elbows tucked in.', 'Pause briefly at the bottom of the movement, then press the barbell back up to the starting position.', 'Repeat for desired number of reps.', 'Rack the barbell once you have completed your set.']",,
Lateral Raise – Machine,,,,79.0,lateral-raise-machine,['shoulder - side'],['shoulder - front'],"['Adjust the seat height so that the handles are at shoulder level.', 'Sit on the machine with your back against the pad and your feet flat on the floor.', 'Grasp the handles with an overhand grip and keep your elbows slightly bent.', 'Exhale and raise your arms out to the sides until they are parallel to the floor.', 'Pause for a moment and then inhale as you slowly lower the handles back to the starting position.', 'Repeat.']",,
One-Handed Plate Pinch,,,,80.0,one-handed-plate-pinch,['forearm - inner'],[],"['Choose two weight plates of the same size and weight.', 'Stand facing the plates and place them on the ground.', 'Bend down and grip the top of each plate with your fingers and thumbs.', 'Lift the plates off the ground and hold them beside your body with your arms hanging, elbows straight, but not locked.', 'Squeeze your fingers and thumbs together to maintain a strong grip on the plates.', 'Hold the plates for a set amount of time. Consider each second one ""repetition"".', 'Lower the plates back to the ground and release your grip.']",,
Hip Thrust – Barbell,,,,81.0,hip-thrust-barbell,['glute'],"['hamstring', 'thigh - inner']","['Sit on the ground with your back against a bench, your feet flat on the ground, and position a barbell across your hips.', 'Engage your core and glute muscles, and slowly lift your hips up off the ground until your body forms a straight line from your knees to your shoulders.', 'Hold for a second or two at the top of the movement, then lower your hips back down to the ground.', 'Repeat.']",,
Preacher Curl – Dumbbell,,,,82.0,preacher-curl-dumbbell,['bicep'],['forearm - inner'],"['Sit on a preacher bench, placing your upper arms on the padding, holding a dumbbell in each hand with an underhand grip.', 'Adjust the seat height so your armpits touch the top of the padding and your arm fully extends. This is your starting position.', 'Curl the dumbbells upwards towards your shoulders, contracting your biceps while keeping your upper arms stationary.', 'Pause briefly at the top of the movement, squeezing your biceps.', 'Lower the dumbbells slowly back to the starting position in a controlled manner, fully extending your arms.', 'Repeat for the desired number of repetitions.']",,
External Shoulder Rotation – Band,,,,83.0,external-shoulder-rotation-band,['rotator cuff - back'],[],"['Attach a resistance band to a stable object at waist height.', 'Stand perpendicular to the anchor point with your right arm farthest away from it, and your feet shoulder-width apart.', 'Reach across your body with your right hand and grab the band.', 'Create resistance in the band by bringing your right elbow close to your right side where it hangs naturally.', 'This starting position has you with your right forearm across the front of your body, at a 90-degree angle to your right upper-arm.', 'Keep your core engaged and your shoulders relaxed.', 'Slowly rotate your arms outward, away from your body, until your right hand is in line with your right shoulder.', 'Pause for a moment, then slowly return to the starting position.', 'Repeat for the desired number of repetitions and then switch sides.']",,
Internal Shoulder Rotation – Band,,,,84.0,internal-shoulder-rotation-band,['rotator cuff - front'],[],"['Attach a resistance band to a stable object at waist height.', 'Stand perpendicular to the anchor point with your right arm closest to it, and your feet shoulder-width apart.', 'Reach your right hand and grab the band.', 'Create resistance in the band by side-stepping away from the anchor point.', 'This starting position has your right forearm at a 90-degree angle to your right upper-arm. Your right forearm points to your right.', 'Keep your core engaged and your shoulders relaxed.', 'Slowly rotate your arms inward, toward your body, until your right hand is in line with your right shoulder.', 'Pause for a moment, then slowly return to the starting position.', 'Repeat for the desired number of repetitions and then switch sides.']",,
Good Morning,,,,85.0,good-morning,"['glute', 'hamstring', 'lower back']",['thigh - inner'],"['Start by standing with your feet shoulder-width apart and your toes pointing forward.', 'Place your hands behind your head, or on a weighted barbell on your shoulders, with your elbows pointing out to the sides.', 'Keeping your back straight and your core engaged, hinge forward at your hips, pushing your butt back as far as possible.', 'Lower your torso until it is nearly parallel to the ground, or until you feel a stretch in your hamstrings.', 'Pause for a moment, then slowly return to the starting position by squeezing your glutes and pushing your hips forward.', 'Repeat.']",,
Chin-Up,,,,86.0,chin-up,['lat'],"['bicep', 'forearm - inner', 'rotator cuff - back', 'rotator cuff - front', 'shoulder - back']","['Stand underneath a chin-up bar with your feet shoulder-width apart.', 'Reach up and grasp the bar with an underhand grip, with your palms facing towards you and your hands shoulder-width apart.', 'Hang from the bar with your arms fully extended and your shoulders relaxed.', 'Engage your back muscles and pull your body up towards the bar, keeping your elbows close to your body.', 'Continue pulling until your chin is above the bar.', 'Pause briefly at the top of the movement, then slowly lower yourself back down to the starting position.', 'Repeat.']",,
Wrist Extension – Barbell,,,,87.0,wrist-extension-barbell,['forearm - outer'],[],"['Hold a barbell with an overhand grip, with your hands shoulder-width apart.', 'Sit on a bench with your feet shoulder-width apart.', 'Rest the barbell on the top of your thighs, with your palms facing down.', 'Slowly lift the barbell by extending your wrists, keeping your elbows stationary. Focus on bringing your knuckles back towards the top of your forearms.', 'Hold the barbell at the top of the movement for a moment.', 'Lower the barbell back down to the starting position by flexing your wrists.', 'Repeat.']",,
Rack Pull,,,,88.0,rack-pull,"['glute', 'hamstring', 'lower back']","['calf', 'forearm - inner', 'forearm - outer', 'trap', 'quad']","['Set up a barbell in a power rack at shin height or just below your knees.', 'Stand with your feet shoulder-width apart and your shins touching the bar.', 'Grasp the bar with an overhand grip, slightly wider than shoulder-width apart.', 'Engage your core and lift the bar by extending your hips and knees.', 'Keep your back straight and your shoulders pulled back throughout the movement.', 'Lower the bar back down to the starting position by bending your hips and knees.', 'Repeat.']","With its elevated starting point, the Rack Pull is an easier version of the Deadlift.",
Front Raise – Dumbbell,,,,89.0,front-raise-dumbbell,['shoulder - front'],['shoulder - side'],"['Stand with your feet shoulder-width apart and hold a dumbbell in each hand with your palms facing your thighs.', 'Keeping your arms straight, lift the dumbbells in front of you until they reach shoulder height.', 'Hold the position for a second, then slowly lower the dumbbells back down to your thighs.', 'Repeat.']",,
Standing Glute Kickback – Machine,,,,90.0,standing-glute-kickback-machine,['glute'],"['hamstring', 'thigh - inner']","['Adjust the machine to the appropriate height for your body.', 'Stand facing the machine with your feet shoulder-width apart and your hands holding onto the handles.', 'Engage your glutes and lift one leg straight back behind you, keeping it in line with your body.', 'Pause at the top of the movement and squeeze your glutes.', 'Lower your leg back down to the starting position and repeat on the other side.', 'Complete the desired number of repetitions on each leg.']",,
Hang Snatch,,,,91.0,hang-snatch,"['glute', 'lower back', 'quad', 'thigh - inner']","['calf', 'forearm - inner', 'hamstring', 'trap']","['Start standing up with the barbell in an overhand grip, hands slightly wider than shoulder-width apart, resting against your thighs.', 'Quickly drop down into a quarter squat, then explosively extend your hips, knees, and ankles to jump upwards.', 'As you jump, pull the bar upwards with your arms, keeping it close to your body and using your momentum to bring it up to shoulder height.', 'Rotate your elbows around and under the bar, catching it in an overhead squat position with your arms fully extended and your feet shoulder-width apart.', 'Stand up to complete the lift', 'Lower the bar back down to the ground with control.', 'Repeat.']",,
Kneeling Ab Wheel Roll-Out,,,,92.0,kneeling-ab-wheel-roll-out,['abdominal'],['oblique'],"['Kneel on the floor with an ab wheel in front of you.', 'Place your hands on the ab wheel handles, shoulder-width apart.', 'Engage your core and slowly roll the ab wheel forward, keeping your arms straight and your back flat.', 'Continue rolling out until your body is fully extended and your arms are overhead.', 'Pause for a moment, then slowly roll the ab wheel back towards your knees.', 'Repeat.']",,
Pull-Apart – Band,,,,93.0,pull-apart-band,"['rotator cuff - back', 'shoulder - back']",['rotator cuff - front'],"['Stand with feet shoulder-width apart and hold a resistance band with both hands.', 'Extend your arms straight out in front of you, keeping your palms facing down.', 'Begin pulling the band apart by squeezing your shoulder blades together.', 'Continue pulling until your hands are at shoulder height and the band is stretched tight.', 'Hold for a moment, then slowly release the tension and return to the starting position.', 'Repeat.']",,
Monkey Row,,,,95.0,monkey-row,['shoulder - side'],"['bicep', 'shoulder - front', 'trap']","['Start in a standing position with your feet shoulder-width apart and your knees slightly bent.', 'Hold a dumbbell in each hand with your palms facing each other and your arms extended by your sides.', 'Bend your elbows and pull the dumbbells up towards your armpits, keeping your elbows close to your body.', 'Pause at the top of the movement and squeeze your shoulder blades together.', 'Lower the dumbbells back down to the starting position.', 'Repeat.']",,
Decline Bench Press – Dumbbell,,,,96.0,decline-bench-press-dumbbell,"['chest', 'shoulder - front']",['tricep'],"['Set up a decline bench at a 45-degree angle.', 'Grab a pair of dumbbells and lie down on the bench with your feet secured at the end.', 'Hold the dumbbells at chest level with your palms facing forward.', 'Lower the dumbbells slowly towards your chest, keeping your elbows at a 45-degree angle.', 'Pause for a moment, then push the dumbbells back up to the starting position.', 'Repeat.']",,
Pullover – Barbell,,,,97.0,pullover-barbell,"['chest', 'lat', 'tricep']","['rotator cuff - back', 'rotator cuff - front']","['Lie on a bench with your head and shoulders supported, and your feet flat on the floor.', ""Hold a barbell with a pronated grip (palms facing forward) slightly wider than shoulder-width, and press it up to arm's length over your chest. This is your starting position."", 'Keep a slight bend in your elbows and lock your arms in this slightly bent position throughout the entire movement.', 'Inhale and slowly lower the barbell in an arc behind your head while keeping your arms straight, moving primarily at the shoulder joints.', 'Lower the barbell until your arms are parallel to the floor or until you feel a stretch in your chest or lats, whichever comes first.', 'Exhale as you reverse the motion, bringing the barbell back over your chest in the same arc motion.', 'Repeat for the desired number of reps.']",,
One-Legged Hip Thrust,,,,98.0,one-legged-hip-thrust,['glute'],"['hamstring', 'thigh - inner']","['Begin by lying on your back with your knees bent and feet flat on the ground.', 'Extend one leg straight out, keeping it in line with your hip.', 'Place your hands on the ground by your sides for support.', 'Engage your glutes and lift your hips up towards the ceiling, keeping your extended leg straight.', 'Pause at the top of the movement, then slowly lower your hips back down to the ground.', 'Repeat for the desired number of reps, then switch legs.']","Consider variations of this exercises where your back is on a bench and your feet are still on the floor, or adding weight to your hips.",
Reverse Fly – Dumbbell,,,,99.0,reverse-fly-dumbbell,"['rotator cuff - back', 'shoulder - back']",['trap'],"['Stand with your feet shoulder-width apart and hold a dumbbell in each hand with your palms facing each other.', 'Bend forward at your hips, keeping your back straight and your core engaged.', 'Extend your arms straight down towards the floor, with your elbows slightly bent.', 'Keeping your arms straight, lift the dumbbells out to the sides until they reach shoulder height.', 'Pause for a moment, then slowly lower the dumbbells back down to the starting position.', 'Repeat.']",,
Curl – Dumbbell,,,,100.0,curl-dumbbell,['bicep'],['forearm - inner'],"['Stand up straight with your feet shoulder-width apart and your arms at your sides, holding a dumbbell in each hand.', 'Keeping your elbows close to your sides, slowly lift the dumbbells up towards your shoulders, rotating your palms to face your shoulders as you lift.', 'Pause for a moment at the top of the movement, squeezing your biceps.', 'Slowly lower the dumbbells back down to the starting position, rotating your palms back to face your thighs as you lower.', 'Repeat.']",,
Torso Rotation Machine,,,,101.0,torso-rotation-machine,['oblique'],[],"['Adjust the seat and chest pad of the machine.', 'Kneel on the knee pad with your chest against the chest pad.', 'Grasp the handles with both hands and keep your elbows bent.', 'Rotate your torso to the left as far as you comfortably can, while keeping your hips and legs stationary.', 'Pause briefly at the end of the range of motion, then rotate your torso back to the starting position.', 'Repeat the rotation to the right side, and continue alternating sides for the desired number of repetitions or time.']",,
Seated Row – Machine,,,,102.0,seated-row-machine,"['lat', 'shoulder - back', 'trap']","['bicep', 'forearm - inner', 'rotator cuff - back', 'rotator cuff - front']","['Adjust the seat height so that the handles are at chest level.', 'Sit on the machine with your feet flat on the footrests and your knees slightly bent.', 'Grasp the handles with an overhand grip and keep your back straight.', 'Pull the handles towards your chest while keeping your elbows close to your body.', 'Pause for a moment and then slowly release the handles back to the starting position.', 'Repeat.']",,
Pullover – Dumbbell,,,,103.0,pullover-dumbbell,"['chest', 'lat', 'tricep']","['rotator cuff - back', 'rotator cuff - front']","['Lie on a bench with your head and shoulders supported, and your feet flat on the floor.', 'Hold a dumbbell with both hands, palms pressing against the underside of one of the sides of the dumbbell. Push the dumbbell towards the sky above your chest. This is your starting position.', 'Keep a slight bend in your elbows and lock your arms in this slightly bent position throughout the entire movement.', 'Inhale and slowly lower the dumbbell in an arc behind your head while keeping your arms straight, moving primarily at the shoulder joints.', 'Lower the dumbbell until your arms are parallel to the floor or until you feel a stretch in your chest or lats, whichever comes first.', 'Exhale as you reverse the motion, bringing the dumbbell back over your chest in the same arc motion.', 'Repeat for the desired number of reps.']",,
Farmers Walk,,,,104.0,farmers-walk,"['forearm - inner', 'glute', 'oblique', 'trap']","['abdominal', 'calf', 'lower back', 'quad', 'shoulder - side']","['Stand with your feet shoulder-width apart and your core engaged.', 'Pick up a heavy weight in each hand, such as dumbbells or kettlebells.', 'Keep your shoulders down and your chest up as you walk forward, taking small, quick steps.', 'Make sure to keep your back straight and avoid leaning forward or backward.', 'Continue walking for a set distance or time, then carefully set the weights down.']",,
Lunge – Bodyweight,,,,105.0,lunge-bodyweight,"['glute', 'quad', 'thigh - inner']",[],"['Stand with your feet shoulder-width apart and your hands on your hips.', 'Step forward with one leg, bending your knee until your thigh is parallel to the ground.', 'Keep your back straight and your core engaged.', 'Push through your front heel to return to the starting position.', 'Repeat with the other leg.']",,
Curl – Barbell,,,,106.0,curl-barbell,['bicep'],['forearm - inner'],"['Stand with your feet shoulder-width apart and your knees slightly bent.', 'Hold the barbell with an underhand grip, palms facing up, and your hands shoulder-width apart.', 'Keep your elbows close to your sides and curl the barbell up towards your chest, exhaling as you lift.', 'Pause at the top of the movement and squeeze your biceps.', 'Lower the barbell back down to the starting position, inhaling as you lower.', 'Repeat.']",,
Dip – Bench,,,,107.0,dip-bench,['tricep'],"['chest', 'rotator cuff - front', 'shoulder - front']","['Find a stable bench or chair and sit on the edge with your hands next to your hips, fingers pointing forward.', 'Slide your feet forward and lower your hips off the bench. Straighten or bend your knees to make the exercise more or less difficult.', 'Lower your body by bending your elbows until your upper arms are parallel to the ground.', 'Push yourself back up to the starting position by straightening your arms.', 'Repeat.']",,
Horizontal Internal Shoulder Rotation – Dumbbell,,,,108.0,horizontal-internal-shoulder-rotation-dumbbell,['rotator cuff - front'],[],"['Lie on your back on a flat surface with a dumbbell nearby.', 'Raise one arm at the shoulder joint to your side so that your upper arm is perpendicular to your body. Bend your elbow at a 90-degree angle bringing your forearm perpendicular to the upper arm so that your hand is above your head on your supporting surface. This position is commonly known as as a single-arm ""cactus pose"".', 'Hold a dumbbell in your hand with your palm facing up towards the ceiling.', ""Slowly rotate your arm up towards the ceiling until it's perpendicular to the ground, keeping your elbow bent and your upper arm stationary."", 'Pause for a moment at the top of the movement, then slowly lower the dumbbell back to the starting position.', 'Repeat for the desired number of repetitions, then switch sides and repeat the exercise with your other arm.']",,
Bar Hang,,,,109.0,bar-hang,"['forearm - inner', 'forearm - outer']",[],"['Find a sturdy horizontal bar that can support your body weight.', 'Stand facing the bar and reach up to grab it with both hands, palms facing away from your body.', 'Jump or step up to lift your feet off the ground and hang from the bar with your arms fully extended.', 'Engage your shoulder blades and core muscles to maintain a stable position.', 'Hold the position for a desired amount of time.', 'To release, slowly lower your body down and step or jump off the bar.']",,
Rear Delt Row – Cable,,,,110.0,rear-delt-row-cable,"['shoulder - back', 'trap']","['forearm - inner', 'rotator cuff - back', 'shoulder - side', 'lat']","['Attach a straight bar to a cable machine, preferably with a bench and foot rests.', 'Sit facing the cable machine with your feet shoulder-width apart and your knees slightly bent.', 'Grasp the bar with an overhand grip, with your hands slightly more than shoulder-width apart.', 'Lean forward slightly, keeping your back straight and your core engaged.', 'Pull the bar towards your upper chest, keeping your elbows wide and out to the sides.', 'Squeeze your shoulder blades together at the top of the movement.', 'Slowly release the bar back to the starting position.', 'Repeat.']",,
Goblet Squat,,,,111.0,goblet-squat,"['glute', 'quad', 'thigh - inner']","['calf', 'lower back']","['Stand with your feet shoulder-width apart and hold a dumbbell or kettlebell vertically against your chest with both hands, elbows pointing down.', 'Brace your core and lower your body as far as you can by pushing your hips back and bending your knees.', 'Pause, then push yourself back up to the starting position.', 'Repeat.']",,
Seated Shoulder Press – Dumbbell,,,,112.0,seated-shoulder-press-dumbbell,['shoulder - front'],"['shoulder - side', 'tricep']","['Start by sitting on a bench with a backrest, holding a dumbbell in each hand at shoulder level.', 'Ensure that your feet are firmly planted on the ground and your back is straight.', 'Press the dumbbells up above your head, extending your arms fully.', 'Pause briefly at the top of the movement, then slowly lower the dumbbells back down to shoulder level.', 'Repeat.']",,
Deadlift – Trap Bar High Handles,,,,113.0,deadlift-trap-bar-high-handles,"['glute', 'hamstring', 'lower back']","['calf', 'forearm - inner', 'forearm - outer', 'trap', 'quad']","['Stand in the center of a loaded trap bar with your feet about hip-width apart.', 'Bend at your hips and knees to lower your body, maintaining a flat back, to grasp the high handles of the trap bar.', 'Look forward, keeping your chest up, and straighten your back to prepare for the lift.', 'Drive through your heels to stand up straight, extending your hips and knees simultaneously while keeping the core engaged.', 'At the top of the movement, stand fully upright with your shoulders back.', 'Pause briefly at the top of the lift before initiating the return.', 'Lower the bar by bending at the hips first, then the knees, maintaining a flat back and controlled movement until the weights are back on the ground.', 'Reset your posture and prepare for the next repetition.']",,
Shallow Lunge – Bodyweight,,,,114.0,shallow-lunge-bodyweight,"['glute', 'quad', 'thigh - inner']",['hamstring'],"['Stand with your feet shoulder-width apart and your hands on your hips.', 'Step forward with one leg, bending your knee until your thigh is parallel to the ground.', 'Keep your back straight and your core engaged.', 'Push through your front heel to return to the starting position.', 'Repeat with the other leg.']",Remember to keep the lunge shallow. Your back knee should stay several inches above the ground. This exercise is an easier version of the Body Weight Lunge.,
Sumo Deadlift – Barbell,,,,115.0,sumo-deadlift-barbell,"['glute', 'hamstring', 'lower back']","['calf', 'forearm - inner', 'forearm - outer', 'trap', 'quad']","['Stand with feet wider than shoulder-width apart and toes pointed outwards.', 'Place hands on the barbell with a grip wider than shoulder-width apart and palms facing down.', 'Engage core and lift the barbell off the ground, keeping back straight and knees bent.', 'As you lift, push hips forward and straighten legs.', 'Lower the barbell back down to the ground, keeping back straight and knees bent.']",,
Twist – Cable,,,,116.0,twist-cable,['oblique'],['abdominal'],"['Stand with your left foot in front of your right, knees slightly bent, facing away from the cable machine.', 'Rotate and reach to your right, behind you, and grab the cable handle with both hands. Your left arm should be straight across your body and behind you.', ""Rotate your torso left until you're facing forward, pulling the cable across your body."", 'Pause briefly at the end of the movement, then slowly rotate back to the starting position.', 'Repeat for the desired number of reps and then switch sides.']",,
Seated Leg Curl,,,,117.0,seated-leg-curl,['hamstring'],[],"['Adjust the machine to fit your body size and leg length.', 'Sit on the machine with your back against the backrest and your legs straight out in front of you.', 'Place your ankles over the padded bar and grasp the handles on the sides of the seat for support.', 'Bend your knees and curl your legs towards your buttocks, keeping your back straight and your feet flexed.', 'Pause briefly at the bottom of the movement, then slowly straighten your legs back to the starting position.', 'Repeat.']",,
Hanging Knee Raise,,,,118.0,hanging-knee-raise,"['abdominal', 'forearm - inner', 'forearm - outer']",['oblique'],"['Hang from a pull-up bar with both hands using an overhand grip.', 'Keep your arms and legs straight with feet off the ground.', 'Stabilize your torso by engaging your core and slightly retracting your shoulders.', 'While exhaling, slowly raise your knees toward your chest. Imagine bringing your knees to your nipples.', 'Pause momentarily when your thighs reach your chest.', 'Inhale as you lower your legs back down, slowly and controlled, to the starting position.']","There are hanging knee raise machines that allow you to balance on your forearms rather than hang from a bar. Also, you could perform this exercise by holding yourself up on dip bars. Consider using either machine if you want to remove most of the forearm activation and focus on the abdominal work.",
Push Press – Dumbbell,,,,119.0,push-press-dumbbell,['shoulder - front'],"['abdominal', 'glute', 'lat', 'lower back', 'quad', 'trap', 'tricep']","['Stand with your feet shoulder-width apart and hold a dumbbell in each hand at shoulder level with your palms facing your head.', 'Bend your knees slightly and dip your body down.', 'Quickly straighten your legs and use the momentum to push the dumbbells overhead.', 'Lock out your arms at the top of the movement.', 'Lower the dumbbells back down to shoulder level and repeat for desired number of reps.']",,
Push Press – Barbell,,,,120.0,push-press-barbell,['shoulder - front'],"['glute', 'lower back', 'quad', 'shoulder - side', 'trap', 'tricep']","['Start with the barbell resting on your front shoulders, with your feet shoulder-width apart.', 'Bend your knees slightly and dip your hips down, then explosively extend your legs and push the barbell up overhead.', 'As the barbell reaches the top of the movement, press it up and lock out your arms.', 'Lower the barbell back down to your shoulders and repeat for the desired number of reps.']",,
Overhead Tricep Extension – Bodyweight,,,,121.0,overhead-tricep-extension-bodyweight,['tricep'],[],"['Set a stationary bar (ex. Smith Machine) at hip height', 'Stand with your feet shoulder-width, lean forward, and grab the bar with your arms in front of you.', 'Bend your elbows and lower your head forward and below the bar. Keep your elbows close to your ears.', 'Squeeze your triceps to extend your arms to the starting position.', 'Repeat.']",,
